Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
Scottie Barnes,4:00pm,Rebounds,Pinnacle,6.5,6.5,0,1.793,1.952,0.5212283044058744,0.4787716955941254,1x,Higher,-15.0%
Cam Thomas,7:00pm,Pts + Rebs + Asts,Pinnacle,31.5,31.5,0.0,1.952,1.8,0.4797441364605543,0.5202558635394456,1x,Lower,-15.5%
Jayson Tatum,4:30pm,Assists,Pinnacle,5.5,5.5,0,1.793,1.943,0.5200749464668095,0.4799250535331906,1x,Higher,-15.6%
Keegan Murray,7:00pm,Pts + Rebs + Asts,Pinnacle,21.5,21.5,0,1.793,1.943,0.5200749464668095,0.4799250535331906,1x,Higher,-15.6%
Scottie Barnes,4:00pm,Assists,Pinnacle,5.5,5.5,0,1.793,1.943,0.5200749464668095,0.4799250535331906,1x,Higher,-15.6%
Jayson Tatum,4:30pm,Points,Pinnacle,25.5,25.5,0.0,1.943,1.8,0.4808976756612342,0.5191023243387657,1x,Lower,-16.1%
Jalen Brunson,6:00pm,Pts + Rebs + Asts,Pinnacle,36.5,36.5,0,1.8,1.943,0.5191023243387657,0.4808976756612342,1x,Higher,-16.1%
Shai Gilgeous-Alexander,7:00pm,Pts + Rebs + Asts,Pinnacle,42.5,42.5,0,1.8,1.943,0.5191023243387657,0.4808976756612342,1x,Higher,-16.1%
Russell Westbrook,6:00pm,Pts + Rebs + Asts,Pinnacle,21.5,21.5,0.0,1.943,1.8,0.4808976756612342,0.5191023243387657,1x,Lower,-16.1%
Jalen Johnson,4:30pm,Points,Pinnacle,18.5,18.5,0.0,1.943,1.8,0.4808976756612342,0.5191023243387657,1x,Lower,-16.1%
RJ Barrett,4:00pm,Pts + Rebs + Asts,Pinnacle,34.5,34.5,0.0,1.943,1.8,0.4808976756612342,0.5191023243387657,1x,Lower,-16.1%
Trae Young,4:30pm,Assists,Pinnacle,11.5,11.5,0.0,1.934,1.806,0.4828877005347593,0.5171122994652405,1x,Lower,-17.0%
