Name,Team,Opponent,Stat,Line,Date,Time,Sport
Jordan Hudson,SMU,PSU 1st Half,Receiving Yards,12.5,2024-12-21,09:00am,CFB1H
Key'Shawn Smith,SMU,PSU,Receiving Yards,37.5,2024-12-21,09:00am,CFB
Key'Shawn Smith,SMU,PSU 1st Half,Receiving Yards,18.5,2024-12-21,09:00am,CFB1H
Matthew Hibner,SMU,PSU,Receiving Yards,34.5,2024-12-21,09:00am,CFB
Matthew Hibner,SMU,PSU 1st Half,Receiving Yards,17.5,2024-12-21,09:00am,CFB1H
Roderick Daniels,SMU,PSU 1st Half,Receiving Yards,22.5,2024-12-21,09:00am,CFB1H
Roderick Daniels,SMU,PSU,Receiving Yards,44.5,2024-12-21,09:00am,CFB
Moochie Dixon,SMU,PSU,Receiving Yards,21.5,2024-12-21,09:00am,CFB
Cade Klubnik,CLE,TEX,Pass Yards,216.5,2024-12-21,01:00pm,CFB
Cade Klubnik,CLE,TEX 1st Half,Rush Yards,11.5,2024-12-21,01:00pm,CFB1H
Cade Klubnik,CLE,TEX 1st Half,Pass Yards,101.5,2024-12-21,01:00pm,CFB1H
Cade Klubnik,CLE,TEX,Pass Completions,20.0,2024-12-21,01:00pm,CFB
Quinn Ewers,TEX,CLE,Pass Completions,21.5,2024-12-21,01:00pm,CFB
Quinn Ewers,TEX,CLE,Pass Attempts,32.5,2024-12-21,01:00pm,CFB
Cade Klubnik,CLE,TEX,Rush Yards,25.5,2024-12-21,01:00pm,CFB
Quinn Ewers,TEX,CLE 1st Half,Pass Yards,132.5,2024-12-21,01:00pm,CFB1H
Quinn Ewers,TEX,CLE,Pass Yards,260.5,2024-12-21,01:00pm,CFB
Phil Mafah,CLE,TEX,Longest Rush,14.5,2024-12-21,01:00pm,CFB
Phil Mafah,CLE,TEX,Rush+Rec Yds,62.5,2024-12-21,01:00pm,CFB
Phil Mafah,CLE,TEX,Receiving Yards,7.5,2024-12-21,01:00pm,CFB
Isaiah Bond,TEX,CLE,Receptions,2.5,2024-12-21,01:00pm,CFB
Phil Mafah,CLE,TEX 1st Half,Rush Yards,25.5,2024-12-21,01:00pm,CFB1H
Phil Mafah,CLE,TEX,Rush Yards,51.5,2024-12-21,01:00pm,CFB
Jaydon Blue,TEX,CLE,Longest Rush,11.5,2024-12-21,01:00pm,CFB
Jaydon Blue,TEX,CLE,Receptions,1.5,2024-12-21,01:00pm,CFB
Quintrevion Wisner,TEX,CLE,Receiving Yards,19.5,2024-12-21,01:00pm,CFB
Quintrevion Wisner,TEX,CLE 1st Half,Receiving Yards,9.5,2024-12-21,01:00pm,CFB1H
Quintrevion Wisner,TEX,CLE,Rush+Rec Yds,110.5,2024-12-21,01:00pm,CFB
Quintrevion Wisner,TEX,CLE 1st Half,Rush Yards,41.5,2024-12-21,01:00pm,CFB1H
Jaydon Blue,TEX,CLE,Longest Reception,8.5,2024-12-21,01:00pm,CFB
Quintrevion Wisner,TEX,CLE,Rush Yards,83.5,2024-12-21,01:00pm,CFB
Matthew Golden,TEX,CLE,Receptions,4.5,2024-12-21,01:00pm,CFB
Jaydon Blue,TEX,CLE,Rush+Rec Yds,41.5,2024-12-21,01:00pm,CFB
Quintrevion Wisner,TEX,CLE,Longest Rush,20.5,2024-12-21,01:00pm,CFB
Antonio Williams,CLE,TEX 1st Half,Receiving Yards,25.5,2024-12-21,01:00pm,CFB1H
Quintrevion Wisner,TEX,CLE,Longest Reception,11.5,2024-12-21,01:00pm,CFB
Antonio Williams,CLE,TEX,Receiving Yards,50.5,2024-12-21,01:00pm,CFB
Bryant Wesco,CLE,TEX 1st Half,Receiving Yards,24.5,2024-12-21,01:00pm,CFB1H
Bryant Wesco,CLE,TEX,Receiving Yards,49.5,2024-12-21,01:00pm,CFB
Antonio Williams,CLE,TEX,Longest Reception,20.5,2024-12-21,01:00pm,CFB
Bert Auburn,TEX,CLE,Kicking Points,6.5,2024-12-21,01:00pm,CFB
Gunnar Helm,TEX,CLE,Receptions,4.5,2024-12-21,01:00pm,CFB
Jake Briningstool,CLE,TEX,Receiving Yards,26.5,2024-12-21,01:00pm,CFB
Jake Briningstool,CLE,TEX 1st Half,Receiving Yards,13.5,2024-12-21,01:00pm,CFB1H
Jake Briningstool,CLE,TEX,Longest Reception,14.5,2024-12-21,01:00pm,CFB
DeAndre Moore,TEX,CLE,Longest Reception,18.5,2024-12-21,01:00pm,CFB
T.J. Moore,CLE,TEX,Receiving Yards,27.5,2024-12-21,01:00pm,CFB
T.J. Moore,CLE,TEX 1st Half,Receiving Yards,12.5,2024-12-21,01:00pm,CFB1H
Gunnar Helm,TEX,CLE,Longest Reception,17.5,2024-12-21,01:00pm,CFB
DeAndre Moore,TEX,CLE,Receiving Yards,35.5,2024-12-21,01:00pm,CFB
DeAndre Moore,TEX,CLE 1st Half,Receiving Yards,17.5,2024-12-21,01:00pm,CFB1H
Nolan Hauser,CLE,TEX,Kicking Points,5.0,2024-12-21,01:00pm,CFB
Gunnar Helm,TEX,CLE 1st Half,Receiving Yards,20.5,2024-12-21,01:00pm,CFB1H
Gunnar Helm,TEX,CLE,Receiving Yards,41.5,2024-12-21,01:00pm,CFB
Isaiah Bond,TEX,CLE,Longest Reception,18.5,2024-12-21,01:00pm,CFB
Trey Murphy III,NOP,HOU 1Q,Points,4.0,2024-12-19,05:10pm,NBA1Q
Trey Murphy III,NOP,HOU,Pts+Rebs,21.5,2024-12-19,05:10pm,NBA
Trey Murphy III,NOP,HOU 1st Half,Points,8.5,2024-12-19,05:10pm,NBA1H
Trey Murphy III,NOP,HOU,Pts+Asts,18.0,2024-12-19,05:10pm,NBA
Trey Murphy III,NOP,HOU,Pts+Rebs+Asts,23.5,2024-12-19,05:10pm,NBA
Trey Murphy III,NOP,HOU,Rebs+Asts,8.0,2024-12-19,05:10pm,NBA
Trey Murphy III,NOP,HOU,Rebounds,5.5,2024-12-19,05:10pm,NBA
Trey Murphy III,NOP,HOU,Points,16.0,2024-12-19,05:10pm,NBA
Trey Murphy III,NOP,HOU,3-PT Made,2.5,2024-12-19,05:10pm,NBA
Isaiah Bond,TEX,CLE 1st Half,Receiving Yards,15.5,2024-12-21,01:00pm,CFB1H
Matthew Golden,TEX,CLE,Longest Reception,25.5,2024-12-21,01:00pm,CFB
Isaiah Bond,TEX,CLE,Receiving Yards,30.5,2024-12-21,01:00pm,CFB
Caleb Williams,CHI,DET 1st Half,Pass Yards,113.5,2024-12-22,10:00am,NFL1H
Caleb Williams,CHI,DET,Rush Yards,26.5,2024-12-22,10:00am,NFL
Caleb Williams,CHI,DET,Pass Yards,223.5,2024-12-22,10:00am,NFL
Alperen Sengun,HOU,NOP,Turnovers,2.5,2024-12-19,05:10pm,NBA
Jaydon Blue,TEX,CLE 1st Half,Receiving Yards,5.5,2024-12-21,01:00pm,CFB1H
Jaydon Blue,TEX,CLE,Receiving Yards,10.5,2024-12-21,01:00pm,CFB
Jaydon Blue,TEX,CLE 1st Half,Rush Yards,12.5,2024-12-21,01:00pm,CFB1H
Jaydon Blue,TEX,CLE,Rush Yards,25.5,2024-12-21,01:00pm,CFB
Jared Goff,DET,CHI 1st Half,Pass Yards,134.5,2024-12-22,10:00am,NFL1H
Jared Goff,DET,CHI,Pass Yards,262.5,2024-12-22,10:00am,NFL
Herbert Jones,NOP,HOU,Pts+Rebs,15.5,2024-12-19,05:10pm,NBA
Herbert Jones,NOP,HOU,Pts+Asts,13.5,2024-12-19,05:10pm,NBA
Herbert Jones,NOP,HOU,Blocked Shots,0.5,2024-12-19,05:10pm,NBA
Herbert Jones,NOP,HOU,Rebounds,4.0,2024-12-19,05:10pm,NBA
Herbert Jones,NOP,HOU 1st Half,Points,6.0,2024-12-19,05:10pm,NBA1H
Herbert Jones,NOP,HOU 1st Half,Pts+Rebs+Asts,9.0,2024-12-19,05:10pm,NBA1H
Herbert Jones,NOP,HOU 1Q,Assists,0.5,2024-12-19,05:10pm,NBA1Q
Herbert Jones,NOP,HOU 1Q,Points,2.5,2024-12-19,05:10pm,NBA1Q
Herbert Jones,NOP,HOU,Points,11.0,2024-12-19,05:10pm,NBA
Herbert Jones,NOP,HOU,Steals,1.5,2024-12-19,05:10pm,NBA
Herbert Jones,NOP,HOU,Pts+Rebs+Asts,17.5,2024-12-19,05:10pm,NBA
Herbert Jones,NOP,HOU,Rebs+Asts,6.5,2024-12-19,05:10pm,NBA
